,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,偉全,1465.TW,13.0,-1.1967359116399521e-05,11.395860326574931,-8.487750449387546e-07,0.015551997746088434,13.72911454286273,0.427,96061000,37660124,1346891000.0
0,聚隆,1466.TW,10.9,-1.0354019237681685e-05,11.248657678730774,1.257030216294098e-05,0.027096264383106413,-5.306212032611509,-0.17,-43087000,-40816248,1211611300.0
0,南緯,1467.TW,11.55,-3.7069006752864076e-05,11.705013129536779,-3.2358956703240864e-05,0.019449914238157315,-10.834228234672414,-0.309,485039008,399819488,2698368657.6000004
0,昶和,1468.TW,12.55,-4.46587392842434e-05,12.147519493013577,-3.656969324300839e-05,0.01714218610271716,242.83342931638148,-0.071,204740992,-202518000,2013082649.6000001
0,大統新創,1470.TW,18.85,1.7684549965472013e-05,13.039567641133925,2.0907994998817308e-05,0.027022585957716016,20.06601488589404,-0.286,205980992,145375504,1616707950.0000002
0,首利,1471.TW,19.3,0.0001503042909765744,12.43093576530328,0.0002100255034431394,0.028963058571054818,-21.10624845894463,-0.109,64376000,-20705876,2903009654.4
0,三洋實業,1472.TW,43.7,-8.94656528977101e-05,52.14035173421943,-7.304785514727835e-05,0.026802145463099756,54.8415285039215,1.115,-6492000,233613376,1856729970.0000002
0,台南,1473.TW,28.7,1.9050123693639958e-05,30.55793908125916,1.5828189024401893e-05,0.01464042425149466,16.791275834293845,-0.112,676632000,561758656,4194619800.0
0,弘裕,1474.TW,11.25,7.524194483342736e-05,9.404466388730897,9.56217057924995e-05,0.017003473985017264,-55.36391631535747,-0.3,44665000,-100627000,1461341250.0
0,業旺,1475.TW,50.8,-0.00021266379601555388,115.03546269124915,-0.00019048587017501278,0.040778759721578677,25.300288676117617,0.051,363339008,225649744,1321663600.0
0,儒鴻,1476.TW,523.0,0.0008248396025396428,188.97373237146957,0.0007900585724141339,0.02119390846240361,10.043739804308883,-0.303,8396930048,7820277248,143493945184.0
